MAC,FABRICANTE
64-56-01   ,"TP-LINK TECHNOLOGIES CO.,LTD."
645601,"TP-LINK TECHNOLOGIES CO.,LTD."
14-CC-20   ,"TP-LINK TECHNOLOGIES CO.,LTD."
14CC20     ,"TP-LINK TECHNOLOGIES CO.,LTD."
BC-46-99   ,"TP-LINK TECHNOLOGIES CO.,LTD."
BC4699     ,"TP-LINK TECHNOLOGIES CO.,LTD."
0C-45-BA   ,"HUAWEI TECHNOLOGIES CO.,LTD"
0C45BA     ,"HUAWEI TECHNOLOGIES CO.,LTD"
84-77-78   ,Cochlear Limited
847778,Cochlear Limited
04-53-D5   ,Sysorex Global Holdings
0453D5     ,Sysorex Global Holdings
CC-44-63   ,"Apple, Inc."
CC4463     ,"Apple, Inc."
6C-72-E7   ,"Apple, Inc."
6C72E7     ,"Apple, Inc."
00-16-CF   ,"Hon Hai Precision Ind. Co.,Ltd."
0016CF     ,"Hon Hai Precision Ind. Co.,Ltd."
44-37-E6   ,"Hon Hai Precision Ind. Co.,Ltd."
4437000000,"Hon Hai Precision Ind. Co.,Ltd."
F4-B7-E2   ,"Hon Hai Precision Ind. Co.,Ltd."
F4B7E2     ,"Hon Hai Precision Ind. Co.,Ltd."
08-3E-8E   ,"Hon Hai Precision Ind. Co.,Ltd."
083E8E     ,"Hon Hai Precision Ind. Co.,Ltd."
48-5A-B6   ,"Hon Hai Precision Ind. Co.,Ltd."
485AB6     ,"Hon Hai Precision Ind. Co.,Ltd."
CC-A2-23   ,"HUAWEI TECHNOLOGIES CO.,LTD"
CCA223     ,"HUAWEI TECHNOLOGIES CO.,LTD"
E8-08-8B   ,"HUAWEI TECHNOLOGIES CO.,LTD"
E8088B     ,"HUAWEI TECHNOLOGIES CO.,LTD"
60-E7-01   ,"HUAWEI TECHNOLOGIES CO.,LTD"
"1,79769313486232E+308","HUAWEI TECHNOLOGIES CO.,LTD"
00-08-83   ,Hewlett Packard
883,Hewlett Packard
C4-34-6B   ,Hewlett Packard
C4346B     ,Hewlett Packard
8C-DC-D4   ,Hewlett Packard
8CDCD4     ,Hewlett Packard
34-64-A9   ,Hewlett Packard
3464A9     ,Hewlett Packard
D4-C9-EF   ,Hewlett Packard
D4C9EF     ,Hewlett Packard
A4-5D-36   ,Hewlett Packard
A45D36     ,Hewlett Packard
A0-D3-C1   ,Hewlett Packard
A0D3C1     ,Hewlett Packard
40-A8-F0   ,Hewlett Packard
40A8F0     ,Hewlett Packard
6C-3B-E5   ,Hewlett Packard
6C3BE5     ,Hewlett Packard
08-2E-5F   ,Hewlett Packard
082E5F     ,Hewlett Packard
28-92-4A   ,Hewlett Packard
28924A     ,Hewlett Packard
10-60-4B   ,Hewlett Packard
10604B     ,Hewlett Packard
30-8D-99   ,Hewlett Packard
308D99     ,Hewlett Packard
00-30-C1   ,Hewlett Packard
0030C1     ,Hewlett Packard
FC-3F-DB   ,Hewlett Packard
FC3FDB     ,Hewlett Packard
4C-A1-61   ,Rain Bird Corporation
4CA161     ,Rain Bird Corporation
7C-61-93   ,HTC Corporation
7C6193     ,HTC Corporation
36877,"Cisco-Linksys, LLC"
1217,"Cisco-Linksys, LLC"
00-0C-41   ,"Cisco-Linksys, LLC"
000C41     ,"Cisco-Linksys, LLC"
00-0F-66   ,"Cisco-Linksys, LLC"
000F66     ,"Cisco-Linksys, LLC"
44-E0-8E   ,Cisco SPVTG
44E08E     ,Cisco SPVTG
18-59-33   ,Cisco SPVTG
185933,Cisco SPVTG
E4-48-C7   ,Cisco SPVTG
E448C7     ,Cisco SPVTG
24-76-7D   ,Cisco SPVTG
24767D     ,Cisco SPVTG
2C-AB-A4   ,Cisco SPVTG
2CABA4     ,Cisco SPVTG
00-02-C7   ,"ALPS ELECTRIC CO.,LTD."
0002C7     ,"ALPS ELECTRIC CO.,LTD."
04-76-6E   ,"ALPS ELECTRIC CO.,LTD."
04766E     ,"ALPS ELECTRIC CO.,LTD."
00-6B-8E   ,"Shanghai Feixun Communication Co.,Ltd."
006B8E     ,"Shanghai Feixun Communication Co.,Ltd."
AC-85-3D   ,"HUAWEI TECHNOLOGIES CO.,LTD"
AC853D     ,"HUAWEI TECHNOLOGIES CO.,LTD"
74-88-2A   ,"HUAWEI TECHNOLOGIES CO.,LTD"
74882A     ,"HUAWEI TECHNOLOGIES CO.,LTD"
78-D7-52   ,"HUAWEI TECHNOLOGIES CO.,LTD"
78D752     ,"HUAWEI TECHNOLOGIES CO.,LTD"
E0-24-7F   ,"HUAWEI TECHNOLOGIES CO.,LTD"
E0247F     ,"HUAWEI TECHNOLOGIES CO.,LTD"
00-46-4B   ,"HUAWEI TECHNOLOGIES CO.,LTD"
00464B     ,"HUAWEI TECHNOLOGIES CO.,LTD"
70-7B-E8   ,"HUAWEI TECHNOLOGIES CO.,LTD"
707BE8     ,"HUAWEI TECHNOLOGIES CO.,LTD"
54-89-98   ,"HUAWEI TECHNOLOGIES CO.,LTD"
548998,"HUAWEI TECHNOLOGIES CO.,LTD"
08-19-A6   ,"HUAWEI TECHNOLOGIES CO.,LTD"
0819A6     ,"HUAWEI TECHNOLOGIES CO.,LTD"
3C-F8-08   ,"HUAWEI TECHNOLOGIES CO.,LTD"
3CF808     ,"HUAWEI TECHNOLOGIES CO.,LTD"
B4-15-13   ,"HUAWEI TECHNOLOGIES CO.,LTD"
B41513     ,"HUAWEI TECHNOLOGIES CO.,LTD"
28-31-52   ,"HUAWEI TECHNOLOGIES CO.,LTD"
283152,"HUAWEI TECHNOLOGIES CO.,LTD"
DC-D2-FC   ,"HUAWEI TECHNOLOGIES CO.,LTD"
DCD2FC     ,"HUAWEI TECHNOLOGIES CO.,LTD"
00-12-D2   ,Texas Instruments
0012D2     ,Texas Instruments
08-00-28   ,Texas Instruments
80028,Texas Instruments
6C-EC-EB   ,Texas Instruments
6CECEB     ,Texas Instruments
84-EB-18   ,Texas Instruments
84EB18     ,Texas Instruments
D4-F5-13   ,Texas Instruments
D4F513     ,Texas Instruments
A0-F6-FD   ,Texas Instruments
A0F6FD     ,Texas Instruments
20-91-48   ,Texas Instruments
209148,Texas Instruments
D0-B5-C2   ,Texas Instruments
D0B5C2     ,Texas Instruments
F8-A4-5F   ,Xiaomi Communications Co Ltd
F8A45F     ,Xiaomi Communications Co Ltd
8C-BE-BE   ,Xiaomi Communications Co Ltd
8CBEBE     ,Xiaomi Communications Co Ltd
64-09-80   ,Xiaomi Communications Co Ltd
640980,Xiaomi Communications Co Ltd
98-FA-E3   ,Xiaomi Communications Co Ltd
98FAE3     ,Xiaomi Communications Co Ltd
18-59-36   ,Xiaomi Communications Co Ltd
185936,Xiaomi Communications Co Ltd
9C-99-A0   ,Xiaomi Communications Co Ltd
9C99A0     ,Xiaomi Communications Co Ltd
00-03-DD   ,Comark Interactive Solutions
0003DD     ,Comark Interactive Solutions
00-10-7B   ,"Cisco Systems, Inc"
00107B     ,"Cisco Systems, Inc"
00-90-6D   ,"Cisco Systems, Inc"
00906D     ,"Cisco Systems, Inc"
00-90-BF   ,"Cisco Systems, Inc"
0090BF     ,"Cisco Systems, Inc"
00-50-80   ,"Cisco Systems, Inc"
5080,"Cisco Systems, Inc"
D0-E5-4D   ,Pace plc
D0E54D     ,Pace plc
FC-8E-7E   ,Pace plc
FC8E7E     ,Pace plc
B4-F2-E8   ,Pace plc
B4F2E8     ,Pace plc
70-85-C6   ,Pace plc
7085C6     ,Pace plc
00-E0-18   ,ASUSTek COMPUTER INC.
0,ASUSTek COMPUTER INC.
00-0C-6E   ,ASUSTek COMPUTER INC.
000C6E     ,ASUSTek COMPUTER INC.
00-1B-FC   ,ASUSTek COMPUTER INC.
001BFC     ,ASUSTek COMPUTER INC.
00-1E-8C   ,ASUSTek COMPUTER INC.
001E8C     ,ASUSTek COMPUTER INC.
00-15-F2   ,ASUSTek COMPUTER INC.
0015F2     ,ASUSTek COMPUTER INC.
00-23-54   ,ASUSTek COMPUTER INC.
2354,ASUSTek COMPUTER INC.
00-1F-C6   ,ASUSTek COMPUTER INC.
001FC6     ,ASUSTek COMPUTER INC.
60-18-2E   ,ShenZhen Protruly Electronic Ltd co.
60182E     ,ShenZhen Protruly Electronic Ltd co.
F4-CF-E2   ,"Cisco Systems, Inc"
F4CFE2     ,"Cisco Systems, Inc"
50-1C-BF   ,"Cisco Systems, Inc"
501CBF     ,"Cisco Systems, Inc"
28-5F-DB   ,"HUAWEI TECHNOLOGIES CO.,LTD"
285FDB     ,"HUAWEI TECHNOLOGIES CO.,LTD"
40-4D-8E   ,"HUAWEI TECHNOLOGIES CO.,LTD"
404D8E     ,"HUAWEI TECHNOLOGIES CO.,LTD"
78-1D-BA   ,"HUAWEI TECHNOLOGIES CO.,LTD"
781DBA     ,"HUAWEI TECHNOLOGIES CO.,LTD"
00-1E-10   ,"HUAWEI TECHNOLOGIES CO.,LTD"
10000000000,"HUAWEI TECHNOLOGIES CO.,LTD"
B0-AD-AA   ,Avaya Inc
B0ADAA     ,Avaya Inc
10-CD-AE   ,Avaya Inc
10CDAE     ,Avaya Inc
50-CD-22   ,Avaya Inc
50CD22     ,Avaya Inc
FC-A8-41   ,Avaya Inc
FCA841     ,Avaya Inc
3C-B1-5B   ,Avaya Inc
3CB15B     ,Avaya Inc
C8-F4-06   ,Avaya Inc
C8F406     ,Avaya Inc
2C-F4-C5   ,Avaya Inc
